Team_i,Team_j,home_i,home_j,score_i,score_j,year
china,thailand,0,0,4,0,2018
jordan,philippines,1,0,1,2,2018
philippines,china,0,0,0,3,2018
thailand,jordan,0,1,6,1,2018
jordan,china,1,0,1,8,2018
thailand,philippines,0,0,3,1,2018
japan,vietnam,0,0,4,0,2018
australia,south korea,0,0,0,0,2018
south korea,japan,0,0,0,0,2018
vietnam,australia,0,0,0,8,2018
japan,australia,0,0,1,1,2018
south korea,vietnam,0,0,4,0,2018
philippines,south korea,0,0,0,5,2018
australia,thailand,0,0,2,2,2018
china,japan,0,0,1,3,2018
china,thailand,0,0,3,1,2018
japan,australia,0,0,1,0,2018
ghana,algeria,1,0,1,0,2018
mali,cameroon,0,0,1,2,2018
ghana,mali,1,0,1,2,2018
cameroon,algeria,0,0,3,0,2018
cameroon,ghana,0,1,1,1,2018
algeria,mali,0,0,2,3,2018
nigeria,south africa,0,0,0,1,2018
zambia,equatorial guinea,0,0,5,0,2018
nigeria,zambia,0,0,4,0,2018
equatorial guinea,south africa,0,0,1,7,2018
equatorial guinea,nigeria,0,0,0,6,2018
south africa,zambia,0,0,1,1,2018
cameroon,nigeria,0,0,0,0,2018
south africa,mali,0,0,2,0,2018
cameroon,mali,0,0,4,2,2018
nigeria,south africa,0,0,0,0,2018
trinidad,panama,0,0,0,3,2018
united states,mexico,1,0,6,0,2018
panama,united states,0,1,0,5,2018
mexico,trinidad,0,0,4,1,2018
panama,mexico,0,0,2,0,2018
trinidad,united states,0,1,0,7,2018
costa rica,cuba,0,0,8,0,2018
canada,jamaica,0,0,2,0,2018
jamaica,costa rica,0,0,1,0,2018
cuba,canada,0,0,0,12,2018
cuba,jamaica,0,0,0,9,2018
costa rica,canada,0,0,1,3,2018
panama,canada,0,0,0,7,2018
united states,jamaica,1,0,6,0,2018
panama,jamaica,0,0,2,2,2018
canada,united states,0,1,0,2,2018
colombia,uruguay,0,0,7,0,2018
chile,paraguay,1,0,1,1,2018
paraguay,peru,0,0,3,0,2018
chile,colombia,1,0,1,1,2018
uruguay,peru,0,0,1,1,2018
colombia,paraguay,0,0,5,1,2018
colombia,peru,0,0,3,0,2018
chile,uruguay,1,0,1,0,2018
paraguay,uruguay,0,0,2,1,2018
peru,chile,0,1,0,5,2018
